                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44547,                  0.926,                      1,                0.42192,              0.0033067,              0.0033067,              0.0033067
                      2,                0.20875,                0.94975,                      1,                0.37152,              0.0065743,              0.0065743,              0.0065743
                      3,                0.16424,                0.96475,                      1,                0.35822,              0.0097759,              0.0097759,              0.0097759
                      4,                0.13652,                  0.962,                      1,                0.35494,               0.009703,               0.009703,               0.009703
                      5,                 0.1197,                  0.964,                      1,                0.35074,               0.009703,               0.009703,               0.009703
                      6,                0.10977,                0.96875,                      1,                0.35132,               0.009604,               0.009604,               0.009604
                      7,                0.10397,                   0.97,                      1,                0.34839,               0.009505,               0.009505,               0.009505
                      8,                0.09681,                0.97675,                      1,                0.34189,               0.009406,               0.009406,               0.009406
                      9,                0.09205,                  0.978,                      1,                0.34138,               0.009307,               0.009307,               0.009307
                     10,                0.08811,                0.97725,                      1,                 0.3388,               0.009208,               0.009208,               0.009208
                     11,                0.08556,                  0.977,                      1,                0.34071,               0.009109,               0.009109,               0.009109
                     12,                0.08016,                0.97975,                      1,                0.33878,                0.00901,                0.00901,                0.00901
                     13,                 0.0805,                 0.9805,                      1,                0.33631,               0.008911,               0.008911,               0.008911
                     14,                0.07833,                0.97625,                      1,                0.34153,               0.008812,               0.008812,               0.008812
                     15,                0.07606,                   0.98,                      1,                0.33736,               0.008713,               0.008713,               0.008713
                     16,                0.07681,                0.98175,                      1,                 0.3354,               0.008614,               0.008614,               0.008614
                     17,                0.07368,                0.97725,                      1,                0.33654,               0.008515,               0.008515,               0.008515
                     18,                0.07393,                0.98025,                      1,                 0.3374,               0.008416,               0.008416,               0.008416
                     19,                0.07304,                0.97625,                      1,                0.33811,               0.008317,               0.008317,               0.008317
                     20,                0.06869,                0.98025,                      1,                0.33873,               0.008218,               0.008218,               0.008218
                     21,                0.06775,                  0.981,                      1,                0.33576,               0.008119,               0.008119,               0.008119
                     22,                0.06757,                 0.9785,                      1,                  0.339,                0.00802,                0.00802,                0.00802
                     23,                0.06803,                0.98375,                      1,                0.33545,               0.007921,               0.007921,               0.007921
                     24,                0.06431,                0.98225,                      1,                 0.3343,               0.007822,               0.007822,               0.007822
                     25,                0.06625,                 0.9815,                      1,                0.33485,               0.007723,               0.007723,               0.007723
                     26,                0.06498,                0.98225,                      1,                0.33361,               0.007624,               0.007624,               0.007624
                     27,                0.06274,                0.98375,                      1,                0.33185,               0.007525,               0.007525,               0.007525
                     28,                0.06517,                 0.9815,                      1,                0.33443,               0.007426,               0.007426,               0.007426
                     29,                0.06082,                 0.9815,                      1,                0.33314,               0.007327,               0.007327,               0.007327
                     30,                 0.0594,                0.98325,                      1,                 0.3319,               0.007228,               0.007228,               0.007228
                     31,                0.06072,                 0.9845,                      1,                 0.3317,               0.007129,               0.007129,               0.007129
                     32,                0.05924,                0.98325,                      1,                0.33272,                0.00703,                0.00703,                0.00703
                     33,                0.05887,                 0.9805,                      1,                0.33263,               0.006931,               0.006931,               0.006931
                     34,                0.06127,                  0.981,                      1,                0.33796,               0.006832,               0.006832,               0.006832
                     35,                0.05974,                0.98175,                      1,                0.33494,               0.006733,               0.006733,               0.006733
                     36,                0.06076,                0.98625,                      1,                0.33052,               0.006634,               0.006634,               0.006634
                     37,                0.05563,                0.98425,                      1,                0.33043,               0.006535,               0.006535,               0.006535
                     38,                0.05657,                0.98475,                      1,                0.33137,               0.006436,               0.006436,               0.006436
                     39,                0.05419,                  0.982,                      1,                0.33343,               0.006337,               0.006337,               0.006337
                     40,                0.05579,                  0.983,                      1,                0.33232,               0.006238,               0.006238,               0.006238
                     41,                0.05638,                  0.985,                      1,                0.33199,               0.006139,               0.006139,               0.006139
                     42,                0.05053,                0.98175,                      1,                0.33241,                0.00604,                0.00604,                0.00604
                     43,                0.05327,                 0.9825,                      1,                0.33145,               0.005941,               0.005941,               0.005941
                     44,                0.05374,                  0.985,                      1,                0.33012,               0.005842,               0.005842,               0.005842
                     45,                0.05522,                0.98375,                      1,                0.33148,               0.005743,               0.005743,               0.005743
                     46,                0.05311,                 0.9845,                      1,                0.33063,               0.005644,               0.005644,               0.005644
                     47,                0.05108,                0.98575,                      1,                 0.3287,               0.005545,               0.005545,               0.005545
                     48,                0.05374,                0.98275,                      1,                 0.3317,               0.005446,               0.005446,               0.005446
                     49,                0.05135,                0.98475,                      1,                0.33066,               0.005347,               0.005347,               0.005347
                     50,                0.05431,                  0.984,                      1,                0.33143,               0.005248,               0.005248,               0.005248
                     51,                 0.0511,                0.98225,                      1,                0.33123,               0.005149,               0.005149,               0.005149
                     52,                0.04669,                 0.9845,                      1,                0.33052,                0.00505,                0.00505,                0.00505
                     53,                0.04935,                 0.9835,                      1,                0.33163,               0.004951,               0.004951,               0.004951
                     54,                0.04575,                 0.9835,                      1,                0.33097,               0.004852,               0.004852,               0.004852
                     55,                0.05024,                  0.985,                      1,                0.33088,               0.004753,               0.004753,               0.004753
                     56,                0.04988,                 0.9845,                      1,                0.33072,               0.004654,               0.004654,               0.004654
                     57,                0.04923,                0.98225,                      1,                0.33243,               0.004555,               0.004555,               0.004555
                     58,                0.04885,                0.98425,                      1,                0.33008,               0.004456,               0.004456,               0.004456
                     59,                0.04802,                0.98625,                      1,                0.32866,               0.004357,               0.004357,               0.004357
                     60,                0.04602,                0.98675,                      1,                0.32797,               0.004258,               0.004258,               0.004258
                     61,                0.04666,                0.98375,                      1,                0.33159,               0.004159,               0.004159,               0.004159
                     62,                0.04609,                 0.9845,                      1,                0.33079,                0.00406,                0.00406,                0.00406
                     63,                0.04499,                0.98375,                      1,                0.33041,               0.003961,               0.003961,               0.003961
                     64,                0.04509,                 0.9875,                      1,                0.32786,               0.003862,               0.003862,               0.003862
                     65,                 0.0461,                 0.9865,                      1,                0.32795,               0.003763,               0.003763,               0.003763
                     66,                0.04115,                0.98725,                      1,                0.32815,               0.003664,               0.003664,               0.003664
                     67,                0.04436,                 0.9865,                      1,                0.32759,               0.003565,               0.003565,               0.003565
                     68,                0.04341,                0.98625,                      1,                0.32866,               0.003466,               0.003466,               0.003466
                     69,                0.04425,                0.98325,                      1,                0.32935,               0.003367,               0.003367,               0.003367
                     70,                0.04178,                 0.9855,                      1,                0.32908,               0.003268,               0.003268,               0.003268
                     71,                0.03844,                0.98475,                      1,                0.32899,               0.003169,               0.003169,               0.003169
                     72,                0.04207,                0.98575,                      1,                0.32879,                0.00307,                0.00307,                0.00307
                     73,                0.03493,                0.98475,                      1,                0.32804,               0.002971,               0.002971,               0.002971
                     74,                0.03629,                0.98575,                      1,                 0.3277,               0.002872,               0.002872,               0.002872
                     75,                0.03772,                0.98675,                      1,                0.32746,               0.002773,               0.002773,               0.002773
                     76,                0.03721,                0.98475,                      1,                0.32795,               0.002674,               0.002674,               0.002674
                     77,                0.03637,                0.98375,                      1,                0.32906,               0.002575,               0.002575,               0.002575
                     78,                0.03281,                0.98475,                      1,                0.32963,               0.002476,               0.002476,               0.002476
                     79,                 0.0317,                 0.9855,                      1,                0.32777,               0.002377,               0.002377,               0.002377
                     80,                0.03418,                  0.986,                      1,                0.32759,               0.002278,               0.002278,               0.002278
                     81,                0.03191,                 0.9845,                      1,                0.32719,               0.002179,               0.002179,               0.002179
                     82,                0.03009,                  0.984,                      1,                0.32855,                0.00208,                0.00208,                0.00208
                     83,                0.02854,                  0.984,                      1,                0.32828,               0.001981,               0.001981,               0.001981
                     84,                0.03367,                0.98525,                      1,                0.32848,               0.001882,               0.001882,               0.001882
                     85,                0.03128,                  0.986,                      1,                0.32699,               0.001783,               0.001783,               0.001783
                     86,                0.02759,                0.98625,                      1,                0.32713,               0.001684,               0.001684,               0.001684
                     87,                0.02795,                  0.985,                      1,                0.32708,               0.001585,               0.001585,               0.001585
                     88,                0.02612,                0.98525,                      1,                0.32779,               0.001486,               0.001486,               0.001486
                     89,                0.02726,                  0.986,                      1,                 0.3275,               0.001387,               0.001387,               0.001387
                     90,                0.02412,                0.98625,                      1,                0.32757,               0.001288,               0.001288,               0.001288
                     91,                0.02312,                0.98575,                      1,                0.32699,               0.001288,               0.001288,               0.001288
                     92,                0.02324,                0.98575,                      1,                0.32817,                0.00109,                0.00109,                0.00109
                     93,                 0.0223,                  0.986,                      1,                0.32717,               0.000991,               0.000991,               0.000991
                     94,                0.02119,                 0.9865,                      1,                0.32733,               0.000892,               0.000892,               0.000892
                     95,                0.02098,                 0.9865,                      1,                0.32715,               0.000793,               0.000793,               0.000793
                     96,                0.02069,                0.98675,                      1,                0.32699,               0.000694,               0.000694,               0.000694
                     97,                0.01982,                0.98625,                      1,                0.32697,               0.000595,               0.000595,               0.000595
                     98,                0.02051,                0.98625,                      1,                0.32704,               0.000496,               0.000496,               0.000496
                     99,                0.01905,                0.98525,                      1,                0.32664,               0.000397,               0.000397,               0.000397
                    100,                0.01835,                0.98525,                      1,                0.32764,               0.000298,               0.000298,               0.000298
